Key,Id,Czech(cs),English(en)
"dtct_hint_welcome",42632781233385472,"Vítej na lokalitě! Prozkoumej ji a najdi cenné artefakty!","Welcome to the site! Explore it and find valuable artifacts!"
"dtct_hint_keys",42632781254356992,"Pohyb kupředu, zpět a do boků - tlačítka <color=red>WSAD</color>.","Move forward, backward, and sideways - use the <color=red>WSAD</color> keys."
"dtct_hint_shift",42632781258551296,"Podrž tlačítko <color=red>Shift</color> spolu se směrovými tlačítky pro rychlejší pohyb.","Hold the <color=red>Shift</color> key along with the directional keys for faster movement."
"dtct_hint_mouse",42632781258551297,"Pohyb myší - otáčení se doprava a doleva.","Mouse movement - turn right and left."
"dtct_hint_mousebuttL",42632781258551298,"Levé tlačítko myši zrychlí kmitání cívkou pro přesnější lokalizaci cíle. ","The left mouse button speeds up coil swinging for more precise target localization."
"dtct_hint_mousebuttR",42698646981177344,"Pravé tlačítko myši zapíná a vypíná <color=green>PINPOINT</color> mód.","The right mouse button toggles the <color=green>PINPOINT</color> mode on and off."
"dtct_hint_spacetodig",57029160960,"Stisk <color=red>mezerníku</color> přepíná do módu kopání.","Press <color=red>the spacebar</color> to switch to digging mode."
"dtct_hint_mouseLdig",42698646985371648,"Levé tlačítko myši - kopej v místě kruhového označení.","Left mouse button - dig at the circular marked spot."
"dtct_hint_pinpointHint",42698646985371649,"Pohybuj pomalu cívkou a najdi nejintenzivnější signál pro bezpečné vyzvednutí předmětu.","Move the coil slowly and find the strongest signal for safe retrieval of the item."
"dtct_hint_spacetodtct",785877561344,"Stisk <color=red>mezerníku</color> tě vrátí do módu hledání.","Press <color=red>the spacebar</color> to return to detecting  mode."
"dtct_hint_itemFound",42698646985371650,"Výborně, podařilo se ti něco najít!","Great, you found something!"
"dtct_hint_identify01",42698646985371651,"Přidrž pravé tlačítko myši a pohybem myší rotuj s předmětem.","Hold down the right mouse button and move the mouse to rotate the object."
"dtct_hint_identify02",42698646985371652,"Levým kliknutím myší na kus hlíny ji odstraníš.","Left-clicking on a piece of soil will remove it."
"dtct_hint_identify03",42698646985371653,"Kolečkem myši přibližuj a oddaluj předmět.","Zoom in and out on the object using the mouse wheel."
"dtct_hint_identify04",42698646985371654,"Pokus se identifikovat neočištěný předmět a získej tak bonusové body.","Try to identify the uncleaned object and earn bonus points."
"dtct_hint_identify05",43043444678193152,"Vyber jednotlivé kategorie a odstraň kus hlíny kliknutím na něj.","Select individual categories and remove pieces of dirt by clicking on them."
"dtct_hint_identify06",49915174570946560,"Postupně předmět odkrývej. Třeba poznáš co jsi našel.","Gradually uncover the object. Maybe you'll recognize what you found."
"dtct_hint_identify07",52403600616583168,"Určuj kategorie v průběhu čištění předmětu. Pozoruj tvar a materiál.","Identify categories as you clean the object. Observe its shape and material."
"dtct_hint_idtfDone01",42698646985371655,"Očistil jsi celý předmět. Dobrá práce!","You've cleaned the entire object. Good job!"
"dtct_hint_idtfDone02",42698646985371656,"Nepodařilo se ti identifikovat nalezený předmět.","You failed to identify the found item."
"dtct_hint_idtfDone03",42698646985371657,"Určil jsi správně všechny kategorie!","You have correctly identified all categories!"
"dtct_hint_idtfDone04",42723011881857024,"Získej další informace o předmětu ve své pracovně a získej tak další body.","Obtain more information about the object in your workspace to earn additional points."
"dtct_hint_idntknw",42723011881857025,"Nevím","I don't know"
"dtct_hint_prdA",42723011881857026,"Doba kamenná (3000+ př.n.l.)","Stone Age (3,000+ BCE)"
"dtct_hint_prdB",42723011881857027,"Doba bronzová (3000př.n.l.-1200př.n.l.)","Bronze Age (3,000BCE-1,200BCE)"
"dtct_hint_prdC",42723011881857028,"Doba železná (1200př.n.l.-500n.l.)","Iron Age (1,200BCE-500CE)"
"dtct_hint_prdD",42723011881857029,"Klasická antika (500př.n.l.-500n.l.)","Classical Antiquity (500BCE-500CE)"
"dtct_hint_prdE",42723011881857030,"Středověk (500n.l.-1500n.l.)","Middle Ages (500CE-1500CE)"
"dtct_hint_prdF",42723011881857031,"Raný novověk (1500n.l.-1800n.l.)","Early Modern Period (1500CE-1800CE)"
"dtct_hint_prdG",42723011881857032,"Novověk (1800n.l.-současnost)","Modern Period (1800CE-Present)"
"dtct_hint_matG",42723011881857033,"Zlato","Gold"
"dtct_hint_matS",42723011881857034,"Stříbro","Silver"
"dtct_hint_matB",42723011881857035,"Bronz","Bronze"
"dtct_hint_matC",42723011881857036,"Měď / Mosaz","Copper / Brass"
"dtct_hint_matA",42723011881857037,"Hliník","Aluminium"
"dtct_hint_matL",42723011881857038,"Olovo","Lead"
"dtct_hint_matI",42723011881857039,"Železo","Iron"
"dtct_hint_typC",42723011881857040,"Mince","Coins"
"dtct_hint_typJ",42723011881857041,"Šperky","Jewelry"
"dtct_hint_typM",42723011881857042,"Vojenské předměty","Militaries"
"dtct_hint_typS",42723011881857043,"Plastiky","Sculptures"
"dtct_hint_typU",42723011881857044,"Běžné předměty","Usual"
"dtct_hint_typT",42723011881857045,"Odpad","Trash"
"dtct_identFormUnkwn",42974819342610432,"Neidentifikovaný předmět","Unidentified object"
"dtct_identFormPrd",42728067985305600,"Vyber období","Choose Period"
"dtct_identFormMat",42728067985305601,"Vyber materiál","Choose Material"
"dtct_identFormTyp",42728067985305602,"Vyber typ","Choose Type"
"dtct_identFormBns",42728067985305603,"Bonus","Bonus"
"dtct_identFormTtlBns",42728067985305604,"Celkový bonus","Total Bonus"
"dtct_identFormDmg",42728067985305605,"Přesnost lokalizace artefaktu","Accuracy of artifact localization"
"dtct_gridOnOff",45190505678761984,"Síť 1cm zap./vyp.","Grid 1cm On/Off"
