Key,Id,Czech(cs),English(en)
CGC_0001,1446836957184,Statérek,Stater
CGC_0001_dscrpt,3871970947072,Velký keltský zlatý statér.,Large Celtic gold stater.
CGC_0001_crdt,2423805057429504,"""Celtic stater"" (https://skfb.ly/oGtrP) by Allard Pierson is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Celtic stater"" (https://skfb.ly/oGtrP) by Allard Pierson is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
DSC_0001,1446874705922,Denár,Denarius
DSC_0001_dscrpt,3871970947075,"Stříbrný denár Římské republiky, ražen: M. Atilius Saranus, 148 př. n. l., 19.5 mm, 3.8 g","Silver Denarius of the Roman Republic, Monier: M. Atilius Saranus, 148BCE, 19.5mm, 3.8g"
DSC_0001_crdt,2427124236677122,"""Silver Denarius, Roman Republic"" (https://skfb.ly/oIHWI) by Frank McMains is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Silver Denarius, Roman Republic"" (https://skfb.ly/oIHWI) by Frank McMains is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
FSC_0001,1446878900224,Medailon vyrobený z mince,A medallion made from a coin
FSC_0001_dscrpt,3871970947076,Medailon je přepracovaná stříbrná mince z roku 1765. Na rubové straně medailonu je vyobrazeno poprsí bavorského kurfiřta Maxmiliána III. Josefa Wittelsbacha (1727-1777) .,"The medallion is a reworked silver coin from 1765. On the reverse side of the medallion, there is a depiction of the bust of Bavarian Elector Maximilian III Joseph Wittelsbach (1727-1777)."
FSC_0001_crdt,2427124236677123,"CC0 Public Domain, Virtual Museums of Małopolska, https://sketchfab.com/3d-models/medallion-for-a-beadwork-necklace-142d386fba0b419ead86627554e4e731","CC0 Public Domain, Virtual Museums of Małopolska, https://sketchfab.com/3d-models/medallion-for-a-beadwork-necklace-142d386fba0b419ead86627554e4e731
"
CBS_0001,1446878900225,Plastika kance,Boar Figurine
CBS_0001_dscrpt,3871970947077,Bronzová soška kance z doby laténské.,Bronze boar figurine from the La Tène period.
CBS_0001_crdt,2427124236677124,"Eberfigur / Boar figurine by LWL-Museum für Archäologie, Herne","Eberfigur / Boar figurine by LWL-Museum für Archäologie, Herne"
CBJ_0001,1446878900226,Keltský náramek,Celtic bracelet
CBJ_0001_dscrpt,3871970947078,"Jednoduchý bronzový náramek z doby keltů. Průměr: 6,7 cm. Hmotnost: cca 50 g.","Simple bronze bracelet from the Celtic period. Diameter: 6,7 cm. Weight: ca. 50 g."
CBJ_0001_crdt,2427124236677125,"CC0 Public Domain, LWL-Archaeologie, https://sketchfab.com/3d-models/037-armring-bangle-926c94add9b14cf38db173305a730607","CC0 Public Domain, LWL-Archaeologie, https://sketchfab.com/3d-models/037-armring-bangle-926c94add9b14cf38db173305a730607"
CBU_0001,1446878900227,Malý bronzový háček,Small bronze hook
CBU_0001_dscrpt,3871970947079,"Bronzový háček neurčitého použití z doby laténské, asi 10 cm a 70 gramů.","A bronze hook of uncertain use from the La Tène period, ca.10 cm, ca.70g."
CBU_0001_crdt,2427124236677126,"""Small bronze hook, Cerro de las Cabezas"" (https://skfb.ly/oHpsZ) by Global Digital Heritage and GDH-Afrika is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Small bronze hook, Cerro de las Cabezas"" (https://skfb.ly/oHpsZ) by Global Digital Heritage and GDH-Afrika is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
BBU_0001,1446878900228,Část sekery,Part of an axe
BBU_0001_dscrpt,3871970947080,Fragment bronzové sekery z období více než 1000 let před naším letopočtem. Váha 235 gramů.,A fragment of a bronze axe from over 1000 years before our era. Weight: ca. 235 g.
BBU_0001_crdt,2427124236677127,"""Wmid-80coo9 - Bronze Age Palstave"" (https://skfb.ly/ozHTL) by The Potteries Museum & Art Gallery is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""Wmid-80coo9 - Bronze Age Palstave"" (https://skfb.ly/ozHTL) by The Potteries Museum & Art Gallery is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
BBU_0002,1446878900229,Možný bronzový ingot,Possible Bronze Age Ingot
BBU_0002_dscrpt,3871970947081,"Kompletní pravděpodobný ingot z měděné slitiny, pravděpodobně z doby bronzové nebo pozdější (2300 př. n. l. až 1500 n. l.). Váha přibližně 46.2 gramů.",A complete copper alloy probable ingot of possible Bronze Age or later dating (2300 BC to 1500 AD). Weight approximately 46.2 grams.
BBU_0002_crdt,2427124236677128,"""wmid-7324d0 - Possible Bronze Age Ingot"" (https://skfb.ly/oUwKE) by The Potteries Museum & Art Gallery is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/).","""wmid-7324d0 - Possible Bronze Age Ingot"" (https://skfb.ly/oUwKE) by The Potteries Museum & Art Gallery is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."
GCM_0001,1446878900230,Nábojnice z roku 1936,A cartridge case from 1936
GCM_0001_dscrpt,3871970947082,"Neúplná nábojnice střeliva (7,92 x 57 mm) pocházejícího od československé firmy Sellier & Bellot z roku 1936.","An incomplete cartridge case (7.92 x 57 mm) from the Czechoslovakian company Sellier & Bellot, dated 1936."
